epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,48.8084,1.07793,0.96792,1.37754,0.94929,0.94563,0.97307,0.72105,0.96753,0.50165,1.22732,0.005743,0.005743,0.005743
45,64.9206,1.07552,0.94385,1.37314,0.93647,0.94458,0.96394,0.73126,0.94062,0.5013,1.20155,0.005644,0.005644,0.005644
46,80.9819,1.06507,0.9331,1.37385,0.95035,0.95145,0.97229,0.74532,0.91125,0.49352,1.17608,0.005545,0.005545,0.005545
47,97.3091,1.04801,0.92629,1.35011,0.95187,0.9556,0.97401,0.75697,0.87091,0.50302,1.13756,0.005446,0.005446,0.005446
48,113.673,1.04795,0.91568,1.34952,0.95463,0.95782,0.97772,0.77606,0.83196,0.46018,1.12603,0.005347,0.005347,0.005347
49,130.029,1.03484,0.89445,1.3521,0.94186,0.96676,0.97693,0.76701,0.84079,0.4551,1.14651,0.005248,0.005248,0.005248
50,146.097,1.01033,0.88849,1.33939,0.96207,0.96,0.98122,0.79086,0.79008,0.4311,1.10566,0.005149,0.005149,0.005149
51,162.357,1.00925,0.85536,1.33079,0.94741,0.95283,0.97773,0.78486,0.7803,0.4567,1.10336,0.00505,0.00505,0.00505
52,178.701,1.00559,0.85855,1.31889,0.95091,0.96024,0.97963,0.78443,0.80676,0.45603,1.11784,0.004951,0.004951,0.004951
53,194.816,0.9921,0.84848,1.31941,0.97093,0.95995,0.98492,0.78185,0.82179,0.42736,1.11903,0.004852,0.004852,0.004852
54,210.83,1.00114,0.83623,1.31102,0.95691,0.95314,0.9776,0.79626,0.77752,0.44068,1.09907,0.004753,0.004753,0.004753
55,227.191,0.99144,0.80977,1.30476,0.96072,0.96199,0.97806,0.79614,0.76283,0.42402,1.07941,0.004654,0.004654,0.004654
56,243.292,0.96638,0.80603,1.2942,0.963,0.96986,0.98218,0.80868,0.72512,0.4154,1.0825,0.004555,0.004555,0.004555
57,259.65,0.9665,0.81493,1.29383,0.95506,0.97252,0.97936,0.7963,0.75797,0.41853,1.07961,0.004456,0.004456,0.004456
58,275.712,0.95628,0.80116,1.29185,0.96563,0.9601,0.98298,0.81009,0.72168,0.41093,1.08073,0.004357,0.004357,0.004357
59,291.852,0.95469,0.78056,1.29565,0.96333,0.97231,0.98415,0.8067,0.74118,0.39648,1.06803,0.004258,0.004258,0.004258
60,308.133,0.9404,0.78521,1.2823,0.96286,0.96355,0.98417,0.81351,0.73292,0.40535,1.08017,0.004159,0.004159,0.004159
61,324.835,0.93711,0.77305,1.28013,0.96194,0.9701,0.98243,0.80579,0.76363,0.3945,1.07982,0.00406,0.00406,0.00406
